RegionID,RegionName,State,date,home_value,treated,rent,post,did,pop_total,median_income,housing_total,housing_owned,median_rent_census,labor_force,mortgage_rate,ownership_rate,home_value_idx,rent_idx
2949,Lackawanna County,PA,2023-08-01,186460.77701240103,0,1198.661298358746,1,0,215834.0,64691.0,88266.0,57698.0,973.0,106323.0,7.072,0.6536831849183151,111.96216906604995,110.39460114714777
2949,Lackawanna County,PA,2023-09-01,186464.51720215,0,1209.0789505625614,1,0,215834.0,64691.0,88266.0,57698.0,973.0,106323.0,7.2,0.6536831849183151,111.96441489900057,111.35404862535081
2949,Lackawanna County,PA,2023-10-01,185990.11214562203,0,1214.140917070444,1,0,215834.0,64691.0,88266.0,57698.0,973.0,106323.0,7.62,0.6536831849183151,111.67955381456328,111.82024685367692
2949,Lackawanna County,PA,2023-11-01,185912.94301598505,0,1219.2931156503462,1,0,215834.0,64691.0,88266.0,57698.0,973.0,106323.0,7.442,0.6536831849183151,111.63321686757887,112.29475529741995
2949,Lackawanna County,PA,2023-12-01,186009.07080779123,0,1226.9260815339903,1,0,215834.0,64691.0,88266.0,57698.0,973.0,106323.0,6.815,0.6536831849183151,111.69093772582369,112.9977380544744
2949,Lackawanna County,PA,2024-01-01,187887.24093667849,0,1228.7426429864568,1,0,215834.0,64691.0,88266.0,57698.0,973.0,106323.0,6.6425,0.6536831849183151,112.81870306540121,113.16504017499743
2949,Lackawanna County,PA,2024-02-01,190088.6113757499,0,1234.258108183902,1,0,215834.0,64691.0,88266.0,57698.0,973.0,106323.0,6.776000000000001,0.6536831849183151,114.14053714346002,113.67300483644654
2949,Lackawanna County,PA,2024-03-01,192376.40273940732,0,1228.2425659599664,1,0,215834.0,64691.0,88266.0,57698.0,973.0,106323.0,6.82,0.6536831849183151,115.51426349786979,113.11898395881873
2949,Lackawanna County,PA,2024-04-01,194420.5122248883,0,1228.6908976422872,1,0,215834.0,64691.0,88266.0,57698.0,973.0,106323.0,6.9925,0.6536831849183151,116.74166872201364,113.16027451964621
2949,Lackawanna County,PA,2024-05-01,196302.8969510808,0,1226.5045927531255,1,0,215834.0,64691.0,88266.0,57698.0,973.0,106323.0,7.06,0.6536831849183151,117.8719647571272,112.95891967774422
2949,Lackawanna County,PA,2024-06-01,197796.08042639983,0,1236.3384347802405,1,0,215834.0,64691.0,88266.0,57698.0,973.0,106323.0,6.9175,0.6536831849183151,118.76856115337188,113.86459926364047
2949,Lackawanna County,PA,2024-07-01,198406.0839391904,0,1252.2989848640752,1,0,215834.0,64691.0,88266.0,57698.0,973.0,106323.0,6.8475,0.6536831849183151,119.13484363660642,115.33453790519548
